i,rel_err,angle_err_deg
0,0.003350959914414124,0.1190267660102481
1,0.0041424964873143415,0.12628630606416852
2,0.0052680661780133455,0.14338486663465652
3,0.008568860840229096,0.15521454528486167
4,0.009386189489369454,0.16438769978968232
5,0.010882751456224402,0.16584782023510972
6,0.012214992325275998,0.1911462847890021
7,0.012399677759096193,0.19550263352369046
8,0.013224361944224812,0.2201693234704992
9,0.013440513538378513,0.22791365368208025
10,0.013503862956503302,0.2559141409790663
11,0.013651474045531844,0.26619960873360715
12,0.013823555660352427,0.2718265919552494
13,0.013895620707754344,0.29713054182750936
14,0.013959909089508303,0.3422651640720989
15,0.014313314072080975,0.35823497475530686
16,0.015228374641893092,0.36791294408133524
17,0.016033492673378464,0.3687067989581499
18,0.016743548209991414,0.37065841773514896
19,0.01763349363967017,0.40097049230191756
20,0.017808919858952083,0.4021633659252759
21,0.01830990450345517,0.41575012987647947
22,0.019158865009399555,0.4168860226425251
23,0.019491200451405077,0.42207376198560315
24,0.01963316967747339,0.45882979596017304
25,0.019665780629160787,0.4931322979679363
26,0.019871497631526562,0.5001484033112069
27,0.01994303288142439,0.5146187840927426
28,0.022527529880562246,0.5488896443367943
29,0.022880244581131953,0.5664051042214215
30,0.02317542568421618,0.5704699937100243
31,0.023751470324639996,0.6192778965885699
32,0.024263976996361833,0.6853048486566514
33,0.024377121152810387,0.6924140592656788
34,0.024577865264493657,0.7233011381357796
35,0.025428767148671302,0.726074053721691
36,0.02546076519524711,0.727131378499317
37,0.026346372886383196,0.7313057446139829
38,0.026390437476778897,0.7339988850658624
39,0.026848275322678316,0.7442391284894708
40,0.02688667839923573,0.7480012515679516
41,0.0269446056671708,0.7622249562702159
42,0.02722552190191753,0.764052669122686
43,0.02786709756393388,0.7662325589917587
44,0.02800526509847313,0.7677948745794522
45,0.028032183927839252,0.7699210115830558
46,0.028309182196838437,0.7701130072332966
47,0.02852591858629787,0.7868116243643634
48,0.02871842119650058,0.7899063205453991
49,0.029902219211329996,0.8017299724250668
50,0.030139599974481523,0.8047039188595728
51,0.030777428009877372,0.8115839628388375
52,0.03129146444209121,0.8205755633675128
53,0.032193669605506535,0.8339843422758204
54,0.03315405517749272,0.8599367426491729
55,0.033894856429259664,0.8613691486892084
56,0.034443426529457845,0.9018849077622575
57,0.03491682288825681,0.9129100111293027
58,0.03621720805205375,0.9229159358327333
59,0.03641763386899,0.9231699001897545
60,0.03676862750831536,0.9317918133000508
61,0.03710745441615064,0.9749199942817918
62,0.0375965232246011,0.9860677553111039
63,0.037627498192289,0.9865923023782518
64,0.037652590811266325,0.9912956292335535
65,0.03788380279031456,0.9960080916337684
66,0.03841379182714665,1.0045110636386827
67,0.03842429736087326,1.0200796453313457
68,0.03873689369041596,1.0377163013345392
69,0.03893110989491332,1.0659499123497522
70,0.03954759341835488,1.067333343102803
71,0.039783772288857835,1.0702775402953857
72,0.04028072340925022,1.0897926559574043
73,0.0420635738758053,1.1010930357651394
74,0.042179257807459555,1.1119428925799637
75,0.042799362510601784,1.12231787971271
76,0.04303114998547877,1.129587946427902
77,0.043097593799120155,1.1310825304271448
78,0.04341585257494937,1.1344141733605824
79,0.04396292865361823,1.1360646050511174
80,0.04413304296084,1.1992145015994045
81,0.04444245853540458,1.2010992378254455
82,0.0444816644509837,1.2032739477990109
83,0.044764941513343315,1.2115889227666703
84,0.04483017365774253,1.2260266181636263
85,0.04510605894180304,1.2728286573964278
86,0.04517046028753253,1.2905457930601558
87,0.04540040957997785,1.2915028044009786
88,0.04552982095314475,1.292155251180216
89,0.04585459319349967,1.3012197053444876
90,0.04590284356777664,1.3192556546096275
91,0.04621787439263652,1.3277695356338757
92,0.046330642143687845,1.3380939881062621
93,0.04675230465636997,1.373257336071658
94,0.047497491081407855,1.3736103562379076
95,0.049158338818294386,1.3806258414293766
96,0.04980939328634296,1.4059574035631668
97,0.05040912164642422,1.406496468329454
98,0.05088129582658374,1.4205571860010775
99,0.05092432928187291,1.4275802903887422
100,0.0509245828946099,1.4659704925821064
101,0.05113782567144552,1.4740286320045117
102,0.05148460138586632,1.4883028357175079
103,0.05191016889179474,1.5190431370310655
104,0.052319389644155764,1.52129999517405
105,0.05262939766699273,1.525196315046151
106,0.052805291840312955,1.5328331233874513
107,0.053150578333910084,1.5648911934738576
108,0.05320924525516408,1.5693667281192285
109,0.053487194596251765,1.602158574440489
110,0.05350127555098386,1.6256221869122713
111,0.05381769004037684,1.6286094483859475
112,0.05394246086189347,1.6303339074329999
113,0.05411339771728658,1.6507261271572484
114,0.05481353508214291,1.6595127924753457
115,0.05530146517572671,1.7063095153653918
116,0.05530561941946502,1.7076575190643462
117,0.05535474511971088,1.7153630395123034
118,0.05644464790241736,1.7278379968536268
119,0.057025448270023656,1.7376021278551081
120,0.05706229246997146,1.755305465299138
121,0.057295758130412565,1.7592567345021044
122,0.057808590181871095,1.7627749244011575
123,0.05795089830404849,1.780797678011252
124,0.058533095358677095,1.7878939002427403
125,0.058540747325319886,1.800927459057251
126,0.05908738854609349,1.8078910475877532
127,0.059170821108615414,1.8272702046262372
128,0.05987596134354882,1.83507045256607
129,0.060595859868499725,1.836887718860363
130,0.06170469445561714,1.840103024844445
131,0.06187172376595539,1.856703507376792
132,0.06266579457149449,1.861162132965086
133,0.06399569962343775,1.8779695498436977
134,0.06449600113391281,1.8809174209727793
135,0.06493554090902055,1.881312347842909
136,0.06499299207524122,1.8958586655625032
137,0.06499853822934498,1.8976384892542104
138,0.06506420567459648,1.9020924469020175
139,0.06532342745516609,1.9076575519959988
140,0.06537123140374805,1.9197097397587062
141,0.06602162998587963,1.932568992332923
142,0.06620806529001547,1.9498578908074027
143,0.0663860336529145,1.9604812531860438
144,0.06837761126210178,1.9743829645875943
145,0.06842849626028497,2.011374531206276
146,0.0685838229875488,2.046729942879799
147,0.06873082825872162,2.051145225383911
148,0.06905076308840272,2.0606479312834174
149,0.06928010349803891,2.073085953576255
150,0.06929490551882897,2.0906291465442206
151,0.0695132634220549,2.092166550923751
152,0.07001952521390885,2.098225610890193
153,0.07014919048146548,2.111648159301324
154,0.07021518299259548,2.1428728919805176
155,0.07057147381647864,2.1486547587583944
156,0.07138111841116977,2.1569812280578664
157,0.07150088884854074,2.1620744308618134
158,0.07158873420714913,2.1757851470317795
159,0.07206597262209383,2.1904749328844226
160,0.0721185841490135,2.1919730306855922
161,0.07291448178047076,2.196898057550413
162,0.07311998635933438,2.206463587325329
163,0.07338668263659431,2.2191966733881414
164,0.0738026653380409,2.2443431987753732
165,0.07384003273043538,2.2445863588385935
166,0.07404518298523813,2.254060733186694
167,0.07425040828989797,2.2911834422632387
168,0.07425232402473987,2.2947425029700614
169,0.07439504628466012,2.301383093949514
170,0.0744236386688634,2.307507438361999
171,0.07471348149711565,2.312373392292272
172,0.07491714357676899,2.313058596566598
173,0.07493687219981583,2.3267628645956058
174,0.07511049598357354,2.3380095873107365
175,0.07526410976253274,2.3491202363857124
176,0.07526495540494973,2.360847036639334
177,0.07526670212553793,2.379311103512684
178,0.0757792789794678,2.394678341500575
179,0.07582650932824217,2.403342081644065
180,0.07609115393279901,2.4098246584178975
181,0.07639039256923348,2.4203765465221836
182,0.07698231509785915,2.435269552406443
183,0.0770899990212665,2.4359580475705296
184,0.07761623542215726,2.43780752221031
185,0.07790901806190022,2.498849746802338
186,0.07804700804691922,2.50544112000603
187,0.07927037346620087,2.5220920466577685
188,0.0796984617776597,2.5227747587778913
189,0.07982994301077831,2.5298315122233443
190,0.07996976204324976,2.5350963509987148
191,0.08002200606117746,2.5456893563977383
192,0.08006210491434765,2.5470539100529033
193,0.08045857281839261,2.563143950159951
194,0.08067963459366159,2.56988311650583
195,0.08139795337635443,2.5700558721664564
196,0.08146005898227245,2.595673677959475
197,0.08165161559239238,2.5960852366785114
198,0.0821336686751281,2.6128283071860183
199,0.08248605926034441,2.6272064350852906
200,0.08254309926986035,2.634052891931477
201,0.08303153919163371,2.681787727346985
202,0.0830419718773524,2.7013164293451073
203,0.0832877849782467,2.7080379648931854
204,0.08381919256171572,2.709535025678632
205,0.08382406685084158,2.7246599302290715
206,0.08393446522736153,2.761832901830846
207,0.08443028917845335,2.772029722724082
208,0.08446054853112758,2.777398861770317
209,0.08467434391366027,2.811251937344945
210,0.08507429465865118,2.8566861028840047
211,0.08510059182763134,2.860274134601795
212,0.0851218659910831,2.8700878917367194
213,0.0856736675545741,2.877793617373418
214,0.08592802733488773,2.8851034054854012
215,0.08594642391191368,2.885741364204777
216,0.08599414143955256,2.8969904003370903
217,0.08607940808746398,2.898829331760086
218,0.08662017153674717,2.904897669143133
219,0.08682379224382104,2.9050230506753514
220,0.08739417668967842,2.906902177808662
221,0.08756765836528405,2.908443646845489
222,0.08819456224527836,2.9174560488138197
223,0.08850329865939692,2.917888670961753
224,0.08878291420997848,2.9420851878248055
225,0.08902525645054649,2.961287152060397
226,0.08930147447218292,2.9761391220922575
227,0.08966269017637106,2.981993126476979
228,0.08985321108718017,2.9985816337587825
229,0.09005640211738189,3.0215006918476535
230,0.09011241881551506,3.022605335405855
231,0.09023739811761648,3.0248395365705543
232,0.09035749882984859,3.0427256536660097
233,0.09059188189367583,3.042794052343031
234,0.09080647869870251,3.085427396488571
235,0.09090749705629098,3.0905537030817003
236,0.09101199686035166,3.1013478474219296
237,0.09101691729747108,3.1167894148032356
238,0.09113726864365786,3.125307742989112
